title,sku_id,shop_id,car_id,car_name,series_name,brand_name,car_year,car_source_city_name,brand_source_city_name,image,sh_price,official_price,car_mileage,car_age,tags,tags_v2,special_tags
领克02 2018款 1.5T DCT两驱劲Pro版 国V,18966404,155732,31193,1.5T DCT两驱劲Pro版 国V,领克02,领克,2018,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_26505050_head_image_list/fcfc028c3a91359f59329536d5fb7824~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,4.88,14.98," 4.35",2019年 ,"[""检测报告""]",,
奔腾T99 2019款 20TD 自动尊享型,17747349,3263,41584,20TD 自动尊享型,奔腾T99,奔腾,2019,东莞,东莞,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/60211f39202e4cb88ad43177e8d98244~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=wWBnAR2jkvgiDpSjL49rj2MRJLw%3D&psm=motor.sh.pack,5.38,16.49," 4.40",2020年 ,"[""检测报告""]",,
魏牌 VV6 2021款 2.0T 两驱智享+,19440097,182963,46317,2.0T 两驱智享+,魏牌 VV6,魏牌,2021,重庆,南宁,https://p3-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/438f7391602243b9b9b2345d35d6e245~tplv-f042mdwyw7-auto-webp:500:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=%2FB5c%2FAAATNlfm3FvocEAaOhUM3w%3D&psm=motor.sh.pack,5.99,16.20,5.68,2020年,"[""直营"",""送整备保养"",""限时物流补贴"",""深度质检"",""中高配""]","[""直营"",""送整备保养"",""限时物流补贴"",""深度质检"",""中高配""]","{""33"":{""key"":""buy_out_price"",""text"":""一口价""},""8"":{""key"":""financial_car"",""price"":""0.6"",""text"":""万首付""}}"
思皓QX 2021款 300T DCT旗舰智联型,19435244,57017,50878,300T DCT旗舰智联型,思皓QX,思皓,2021,阿克苏,阿克苏,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/45fb7210ba8d4655b5feaae52c1bd59d~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=PXQ5r0x7%2FR%2BWAYa%2Fx712IxLV3E0%3D&psm=motor.sh.pack,5.60,14.89," 5.50",2021年 ,"[""检测报告""]",,
荣威RX8 2018款 30T 智联网两驱旗舰版,19368548,36485,30852,30T 智联网两驱旗舰版,荣威RX8,荣威,2018,深圳,深圳,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/be40a1ee4f1f453898d34030b56afe62~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=0oP63rwcAWlSrSzuRa3DRehxOj8%3D&psm=motor.sh.pack,5.38,18.38," 5.60",2019年 ,"[""检测报告""]",,
缤越 2019款 运动款 260T DCT Battle 国V,18912788,33654,32466,运动款 260T DCT Battle 国V,缤越,吉利汽车,2019,惠州,惠州,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/3bcdf6a5ffeb406988a98e69625f3d4f~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=RC8T65otZBtKnb2c%2By3CsRoOjoo%3D&psm=motor.sh.pack,3.98,11.88," 4.30",2019年 ,"[""检测报告""]",,
星途追风 2022款 乘风破浪版 1.5T CVT好事花生版,17074763,6174,74066,乘风破浪版 1.5T CVT好事花生版,星途追风,星途,2022,东莞,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_131343361_head_image_list/f4fae4e1ff15b16a0f352f2f728fdac9~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,5.53,13.19," 2.35",2022年 ,"[""检测报告""]",,
北京X7 2020款 1.5TD DCT致领版,19460690,51308,43878,1.5TD DCT致领版,北京X7,北京汽车,2020,温州,温州,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/b1f1eabe184a4b2392e90fdaf223ce8f~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=haGfLOR52N8j8lMEf6XLtNQMkoY%3D&psm=motor.sh.pack,5.60,14.69," 3.80",2021年 ,"[""检测报告""]",,
宝骏RS-3 2020款 1.5T CVT智能豪华型,19300328,155732,47233,1.5T CVT智能豪华型,宝骏RS-3,宝骏,2020,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_32017467_head_image_list/c30ac0118a50f79ed09cbd5b7abd8927~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,3.58,9.38," 4",2021年 ,"[""检测报告""]",,
荣威RX5 2019款 20T 两驱自动4G互联铂金版,19277565,155732,33482,20T 两驱自动4G互联铂金版,荣威RX5,荣威,2019,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_20824304_head_image_list/1598a55c9454e27f09ef3183f5d0b37d~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,4.08,13.68," 3.93",2019年 ,"[""检测报告""]",,
魏牌 VV5 2021款 1.5T 颜先锋,19388320,59078,48112,1.5T 颜先锋,魏牌 VV5,魏牌,2021,西安,西安,https://p9-dcd.byteimg.com/motor.sh.image/external_33358598_head_image_list/43dd83c5e7804c8f2089c0e1e3443931~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,4.98,12.98," 5.18",2020年 ,"[""检测报告""]",,
星越 2019款 350T 驭星者,18993964,180111,34781,350T 驭星者,星越,吉利汽车,2019,温州,温州,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/fa9575c6e96b4f1ab566281be4a47357~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=tZDLDliTd5l8nzJaNfSWy%2FCLRVU%3D&psm=motor.sh.pack,5.60,18.58," 5.40",2019年 ,"[""检测报告""]",,
瑞虎8 2020款 290TGDI 自动精英版,17561342,44797,45320,290TGDI 自动精英版,瑞虎8,奇瑞,2020,宁波,宁波,https://p9-dcd.byteimg.com/motor.sh.image/external_132095225_head_image_list/41237517ce7c9b735bac952fe2ec7e0b~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,5.38,12.69," 3.61",2020年 ,"[""检测报告""]",,
宝骏510 2019款 1.5L CVT优享型 国VI,19412725,47327,38758,1.5L CVT优享型 国VI,宝骏510,宝骏,2019,东莞,东莞,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/01f346c8c71a4d37953171639a868802~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=vOdGxvpsPRpE%2FOSTdRRZ3ohBUxA%3D&psm=motor.sh.pack,3.16,7.38," 0.73",2020年 ,"[""检测报告""]",,
海马8S 2020款 1.6TGDI 自动豪华型,19387323,86573,46103,1.6TGDI 自动豪华型,海马8S,海马,2020,泉州,泉州,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/b3d42d2e2aee4f168cda83a4171f08d2~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=oIATl5TwggwctHo33WJUO5JSnUs%3D&psm=motor.sh.pack,3.78,10.99," 5.40",2021年 ,"[""检测报告""]",,
魏牌 VV6 2018款 2.0T 两驱超豪型 国V,19411424,6480,32477,2.0T 两驱超豪型 国V,魏牌 VV6,魏牌,2018,东莞,东莞,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/8782da209d2e49ae9511b29edcccf060~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=gLrwk9y7csYgs0dN3D6Fu6luf1A%3D&psm=motor.sh.pack,4.80,15.50," 5.80",2019年 ,"[""检测报告""]",,
长安CS75 2021款 荣耀百万版 280T DCT领航型,17849646,31722,53629,荣耀百万版 280T DCT领航型,长安CS75,长安,2021,天津,天津,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/ee86e61fe6874229b9cf08138231745b~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=EiC%2Fuh2jAJhm4oiO9%2FKjxQfm6MM%3D&psm=motor.sh.pack,5.28,12.19," 3.30",2021年 ,"[""检测报告""]",,
长安UNI-T 2020款 1.5T 豪华型,19212415,180445,43036,1.5T 豪华型,长安UNI-T,长安,2020,成都,成都,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/42e99394d265453dbcce548d97eaf74a~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=66qZwf8Xdti09ZEUOCn%2B8lYFSrI%3D&psm=motor.sh.pack,4.50,11.39," 4.50",2020年 ,"[""检测报告""]",,
哈弗H6 Coupe 2019款 1.5T 自动两驱豪华智联版 国V,19119169,65229,34965,1.5T 自动两驱豪华智联版 国V,哈弗H6 Coupe,哈弗,2019,广州,广州,https://p9-dcd-sign.byteimg.com/tos-cn-i-f042mdwyw7/9ff606d5fea14756b7810bd5457a3f98~tplv-f042mdwyw7-auto-webp:480:0.jpg?rk3s=4892dee6&x-expires=1749907813&x-signature=oSfFfTLikQWB6TeWhGC8BS%2FDY6I%3D&psm=motor.sh.pack,3.88,11.00," 4",2019年 ,"[""检测报告""]",,
东风风神AX7 2022款 马赫版 1.5T DCT DF51,19417000,62842,56312,马赫版 1.5T DCT DF51,东风风神AX7,东风风神,2022,襄阳,襄阳,https://p9-dcd.byteimg.com/motor.sh.image/external_133711675_head_image_list/49003e3fc83206979e6a1c079672e999~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,5.69,12.99," 2.53",2021年 ,"[""检测报告""]",,
风行T5 EVO 2021款 1.5TD DCT钻石版,19402645,155732,50433,1.5TD DCT钻石版,风行T5 EVO,东风风行,2021,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_29429085_head_image_list/32053038fbeb0c7c31de2c17b2cd2e9b~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,4.58,11.49," 5.83",2021年 ,"[""检测报告""]",,
帝豪GS 2019款 1.5TD DCT动Pro 260T 国VI,19334389,155732,37822,1.5TD DCT动Pro 260T 国VI,帝豪GS,吉利汽车,2019,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_48806874_head_image_list/f2fc5b44062a3f7b0555b9e7333f4340~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,3.68,11.68," 4.15",2019年 ,"[""检测报告""]",,
长安欧尚X7 2021款 1.5T 人脸识别全自动泊车太空逍遥版,19041681,59078,50547,1.5T 人脸识别全自动泊车太空逍遥版,长安欧尚X7,长安欧尚,2021,西安,西安,https://p9-dcd.byteimg.com/motor.sh.image/external_23346630_head_image_list/853b20daecb8289364bed84b2a5ce22e~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,5.15,12.99," 5.12",2021年 ,"[""检测报告""]",,
长安UNI-T 2020款 1.5T 旗舰型,19013602,155732,45619,1.5T 旗舰型,长安UNI-T,长安,2020,合肥,合肥,https://p9-dcd.byteimg.com/motor.sh.image/external_29822463_head_image_list/ed5f5c810658dc20ed67c66ac15f32d7~tplv-f042mdwyw7-auto-webp:480:0.jpg?psm=motor.sh.pack,5.88,13.39," 2.11",2021年 ,"[""检测报告""]",,
